Image_Index	PSNR	SSIM	MS-SSIM	VIF	MEF-SSIM
0	7.3121	0.5599	0.7082	0.4084	0.3893
1	7.1220	0.7396	0.8900	0.2842	0.4650
2	8.1991	0.5248	0.6475	0.2500	0.5419
3	7.8206	0.4171	0.5945	0.3425	0.5346
4	8.4903	0.7291	0.7726	0.5540	0.6001
5	8.5331	0.6640	0.8023	0.5041	0.7210
6	9.3182	0.6783	0.8146	0.4062	0.8293
7	12.8946	0.9062	0.9756	1.0082	0.9166
8	8.0790	0.6394	0.7705	0.3508	0.5056
9	8.3291	0.6961	0.8422	0.6950	0.6882
10	12.1662	0.7647	0.8642	0.5602	0.6907
11	11.1741	0.7933	0.9232	0.6840	0.7813
12	9.4827	0.7613	0.8813	0.5102	0.3054
13	9.0171	0.8682	0.9586	0.5778	0.7071
14	10.0697	0.6875	0.8278	0.2800	0.4704
15	15.1985	0.7698	0.8224	0.4419	0.5885
16	10.6362	0.7091	0.8017	0.4727	0.6202
17	8.6868	0.7468	0.7644	0.4352	0.3503
18	6.6121	0.5270	0.3953	0.0013	0.0145
19	12.4263	0.9256	0.9596	0.9350	0.5884
20	6.7031	0.6795	0.7070	0.0085	0.0930
21	8.8867	0.5864	0.6569	0.2993	0.7763
22	16.6109	0.8680	0.9509	0.7106	0.9536
23	7.9024	0.3845	0.4790	0.1111	0.5932
24	7.0439	0.5652	0.7202	0.2204	0.6100
25	12.2855	0.9301	0.9500	0.8209	0.5901
26	8.3609	0.7685	0.7999	0.5002	0.4707
27	18.1275	0.9028	0.9627	0.7691	0.8046
0	18.4561	0.9292	0.9691	0.9012	0.5323
28	10.6201	0.6708	0.7784	0.4122	0.6799
29	10.2595	0.8953	0.9297	1.0152	0.5227
1	18.8613	0.9476	0.9687	0.7100	0.2474
30	16.1562	0.9163	0.9621	0.8638	0.9644
2	21.7902	0.8778	0.9331	0.7094	0.1849
3	24.2458	0.9523	0.9796	0.8702	0.6770
4	20.0617	0.8751	0.9350	0.7591	0.5402
31	14.4274	0.9199	0.9481	0.8741	0.7144
5	21.4708	0.9231	0.9523	0.7253	0.6575
32	17.1030	0.9692	0.9889	0.9914	0.8417
6	19.4154	0.8955	0.9618	0.8462	0.7735
33	10.3574	0.6671	0.9200	0.5078	0.9428
7	16.9349	0.7521	0.8893	0.5414	0.4636
34	12.8370	0.8881	0.9652	0.7139	0.9900
8	22.5383	0.9452	0.9725	0.8808	0.7059
35	8.3650	0.7536	0.8424	0.3291	0.5849
9	24.2543	0.9386	0.9686	0.7475	0.6300
36	13.0010	0.8704	0.9730	0.8477	0.9946
10	21.0811	0.8473	0.9219	0.5699	0.4783
37	17.6551	0.9342	0.9746	0.9373	0.9815
11	23.3405	0.8750	0.9382	0.5934	0.5296
38	13.8745	0.8942	0.9655	0.9517	0.9862
12	18.4543	0.9410	0.9728	0.8902	0.3421
39	13.7050	0.9106	0.9604	0.8674	0.9676
13	14.2205	0.8765	0.9656	0.5798	0.3311
40	12.7034	0.9227	0.9702	0.9138	0.7398
41	14.6388	0.9032	0.9695	1.0746	0.9802
14	24.8527	0.9166	0.9519	0.7555	0.2241
15	22.1620	0.8294	0.9113	0.5932	0.1428
42	10.8904	0.8662	0.9611	0.8270	0.7394
43	8.6571	0.6209	0.6810	0.1978	0.5888
44	9.6266	0.3242	0.3132	0.0242	0.5069
16	22.8426	0.8647	0.9021	0.5222	0.4531
45	10.2502	0.4437	0.4708	0.0609	0.5184
17	11.8997	0.8010	0.8873	0.8208	0.1815
18	11.4430	0.8640	0.9300	0.9424	0.1262
19	13.2025	0.7368	0.8525	0.6736	0.2816
46	7.0766	0.4868	0.6383	0.2261	0.6217
20	18.8901	0.8272	0.7973	0.4647	0.0452
47	8.1421	0.3988	0.3986	0.0514	0.4560
21	11.9853	0.5401	0.7664	0.4855	0.1750
48	8.6091	0.4746	0.4597	0.0966	0.4040
22	11.4964	0.2021	0.6578	0.3711	0.1492
49	10.7567	0.4924	0.5424	0.0212	0.3984
23	11.1385	0.4752	0.7182	0.3783	0.2512
50	7.4447	0.4663	0.4461	0.0736	0.4416
51	9.7703	0.5220	0.5704	0.0429	0.3760
24	17.8561	0.6218	0.7325	0.1771	0.1821
52	6.8396	0.0611	0.0925	0.0338	0.7151
25	9.2777	0.5168	0.7787	0.4491	0.1805
53	10.0326	0.3066	0.2723	0.0468	0.6419
26	12.4205	0.7352	0.8893	0.5721	0.2850
54	11.3329	0.5568	0.6357	0.0454	0.3850
55	9.3024	0.7339	0.8498	0.6243	0.6295
27	10.9124	0.2318	0.6992	0.6392	0.1137
56	6.3696	0.6022	0.7161	0.1764	0.5478
28	12.7933	0.5260	0.7673	0.7648	0.2282
57	9.7144	0.4249	0.5315	0.0559	0.6319
29	10.7353	0.6025	0.8171	0.0969	0.1669
58	7.6025	0.6104	0.7467	0.2430	0.5908
30	12.7002	0.3854	0.7357	0.3685	0.3485
31	11.5801	0.5760	0.7747	0.3123	0.3815
32	13.3446	0.6502	0.8205	0.3859	0.3039
33	13.0230	0.7179	0.9275	0.2881	0.5263
