Image_Index	PSNR	SSIM	MS-SSIM	VIF	MEF-SSIM
0	14.2717	0.8714	0.9023	0.6420	0.7197
1	16.6327	0.8773	0.9480	0.7410	0.6375
2	17.0793	0.6260	0.8265	0.3382	0.7952
3	18.5187	0.8850	0.8952	0.5783	0.8320
4	14.7592	0.8557	0.9031	0.6132	0.7654
5	15.0611	0.8540	0.8993	0.5616	0.7365
6	21.6538	0.9405	0.9520	0.7143	0.8772
7	20.4234	0.8929	0.9568	0.7503	0.7420
8	16.0665	0.9022	0.9359	0.6568	0.8379
9	16.1376	0.8869	0.9444	0.7247	0.7802
10	20.1429	0.8859	0.9554	0.7205	0.8219
11	23.1316	0.8957	0.9612	0.8679	0.8018
12	16.8101	0.8448	0.9406	0.6362	0.6913
13	23.2125	0.9514	0.9609	0.7666	0.6216
14	16.6447	0.7599	0.9041	0.4820	0.7292
15	20.6814	0.7239	0.8485	0.4712	0.6820
16	18.7133	0.8108	0.9081	0.6487	0.7876
17	17.6746	0.8277	0.8768	0.7472	0.7507
18	18.4482	0.6826	0.5676	0.0786	0.6398
19	17.2613	0.9308	0.9390	0.9105	0.7100
20	13.2595	0.7077	0.7355	0.1293	0.4435
21	19.0607	0.6668	0.7548	0.3609	0.8347
22	22.0215	0.8658	0.9447	0.5234	0.7883
23	16.8761	0.4850	0.6725	0.1707	0.7922
24	14.2331	0.6328	0.8447	0.3474	0.8202
25	18.2478	0.9372	0.9511	0.8158	0.7411
26	17.1142	0.8673	0.8675	0.7284	0.7138
27	22.6890	0.9051	0.9559	0.6141	0.6544
28	20.4395	0.8277	0.8962	0.4673	0.8141
29	17.2715	0.9266	0.9250	0.9816	0.7112
30	25.9492	0.9218	0.9526	0.7437	0.8989
31	17.2833	0.9295	0.9668	0.9296	0.8251
32	22.8732	0.9434	0.9775	0.7556	0.6950
33	18.4620	0.8590	0.9588	1.2291	0.7121
34	22.1975	0.8898	0.9725	1.0677	0.7493
35	15.9547	0.8936	0.9016	0.7125	0.6633
36	22.9984	0.9047	0.9746	0.7014	0.7956
37	26.9992	0.9197	0.9658	0.8925	0.8858
38	19.6063	0.9158	0.9679	1.0163	0.8853
39	22.5969	0.9397	0.9537	0.8723	0.8705
40	17.6205	0.9382	0.9589	0.7598	0.7820
41	21.8277	0.9075	0.9483	0.6719	0.8410
42	16.1946	0.9123	0.9620	0.8569	0.7665
43	17.0162	0.8628	0.8851	0.4508	0.8181
44	15.3329	0.2784	0.4482	0.0295	0.8066
45	14.0757	0.4034	0.5309	0.0708	0.7515
46	14.2387	0.6409	0.7482	0.3903	0.7184
47	13.4224	0.3514	0.4709	0.0519	0.7272
48	14.0293	0.4585	0.5570	0.1053	0.6786
49	14.9902	0.4855	0.6307	0.0291	0.6375
50	13.3678	0.4375	0.5339	0.1067	0.7394
51	13.7066	0.5130	0.6216	0.0256	0.6743
52	12.4495	0.0481	0.1974	0.0248	0.8748
53	12.4659	0.2432	0.3032	0.0284	0.7421
54	17.4253	0.5327	0.6707	0.0451	0.6707
55	17.2720	0.8540	0.9190	0.5857	0.6990
56	15.4977	0.8735	0.9343	0.6703	0.6964
57	15.1790	0.4127	0.7074	0.1260	0.8392
58	13.4264	0.8112	0.9019	0.4409	0.7729
